nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette
3;aʹbăcus;;;;n.;2.0;19;abacus
2;ăbăʹft;;;;p.;3.0;19;abaft
3;ăbaiʹſănce;F.;;;n.;4.0;19;abaisance
3;ābăʹndon;F.;;;v.;5.0;19;abandon
4;ābăʹndŏned;;;;a.;6.0;19;abandoned
2;ăbāsʹe;F.;;;v.;7.0;19;abase
3;ăbāʹſ_e_ment;F.;;;n.;8.0;19;abasement
2;ăbăʹſh;F.;;;v.;9.0;19;abash
2;ăbāʹte;F.;;;v.;10.0;19;abate
3;ăbāʹt_e_ment;F.;;;n.;11.0;19;abatement
2;ăʹbbĕſs;;;;n.;12.0;19;abbess
2;ăʹbbey;;;;n.;13.0;19;abbey
2;ăʹbbŏt;;;;n.;14.0;19;abbot
4;ăbbrĕʹvĭāte;L.;;;v.;15.0;19;abbreviate
6;ăbbrevĭāʹtion;L.;;;n.;16.0;19;abbreviation
3;ăʹbdicāte;L.;;;v.;17.0;19;abdicate
3;ăbdōʹmen;;;;n.;18.0;19;abdomen
2;ăbĕʹt;;;;v.;19.0;19;abet
3;ăbĕʹtment;;;;n.;20.0;19;abetment
3;ăbĕʹttor;;;;n.;21.0;19;abettor
3;ăbeʹyănce;F.;;;n.;22.0;19;abeyance
2;ăbhŏʹr;L.;;;v.;23.0;19;abhor
3;ăbhŏʹrrence;;;;n.;24.0;19;abhorrence
2;ābīʹde;;;;v.;25.0;19;abide
2;ăʹbject;L.;;;a.;26.0;19;abject
4;abĭʹlĭty;;;;n.;27.0;19;ability
4;ăbĭntĕʹſtāte;;;;n.;28.0;19;abintestate
5;ăbjūrāʹtion;L.;;;n.;29.0;19;abjuration
2;ăbjūʹre;L.;;;v.;30.0;19;abjure
4;ăblāʹtion;L.;;;n.;31.0;19;ablation
3;ăʹblătive;L.;;;n.;32.0;19;ablative
3;ăʹblĕpſy;G.;;;n.;33.0;19;ablepsy
4;ăblūʹtion;L.;;;n.;34.0;19;ablution
5;ăbnegātion;L.;nbSyll>1 et pas d'accent tonic;;n.;35.0;19;abnegation
2;ăʹboard;;;;p.;36.0;19;aboard
2;ābōʹde;;;;n.;37.0;19;abode
3;ăbŏʹlĭſh;L.;;;v.;2.0;20;abolish
4;ăbŏʹmĭnāte;L.;;;v.;3.0;20;abominate
6;ăbŏʹmĭnāʹtion;L.;;;n.;4.0;20;abomination
4;ăborīʹgĭnes;L.;;;n.;5.0;20;aborigines
4;ăbŏʹrtion;L.;;;n.;6.0;20;abortion
3;ăbŏʹrtive;;;;a.;7.0;20;abortive
2;ăbȯu̇ʹnd;;;;v.;8.0;20;abouond
2;abrĭʹdge;F.;;;v.;9.0;20;abridge
3;abrĭʹdgment;F.;;;n.;10.0;20;abridgment
2;abroaʹd;;;;a.;11.0;20;abroad
3;ăʹbrŏgāte;L.;;;v.;12.0;20;abrogate
2;ăbrŭpt;L.;nbSyll>1 et pas d'accent tonic;;a.;13.0;20;abrupt
2;ăʹbſcĕſs;L.;;;n.;14.0;20;abscess
2;ăbſcŏʹnd;L.;;;v.;15.0;20;abscond
2;ăʹbſĕnt;L.;;;v.;16.0;20;absent
3;ăbſĕnteeʹ;L.;;;n.;17.0;20;absentee
2;ăbſŏʹlve;L.;;;v.;18.0;20;absolve
3;ăʹbſŏlūte;L.;;;a.;19.0;20;absolute
5;ăbſŏlūʹtion;L.;;;n.;20.0;20;absolution
2;ăbſŏʹrb;L.;;;v.;21.0;20;absorb
3;ăbſŏʹrbents;;;;n.;22.0;20;absorbents
2;ăbſtaiʹn;L.;;;v.;23.0;20;abstain
4;ăbſtēʹmĭous;L.;;;a.;24.0;20;abstemious
3;ăbſtĕʹrgent;L.;;;n.;25.0;20;abstergent
3;ăʹbſtĭnĕnce;L.;;;n.;26.0;20;abstinence
2;ăbſtrăʹct;L.;;;v.;27.0;20;abstract
2;ăbſtrūʹſe;L.;;;a.;28.0;20;abstruse
2;ăbſŭʹrd;L.;;;a.;29.0;20;absurd
3;abŭʹndănce;;;;n.;30.0;20;abundance
2;abūʹſe;L.;;;v.;31.0;20;abuse
2;ăbyʹſs;G.;;;n.;32.0;20;abyss
3;ăbyſſīʹnes;;;;n.;33.0;20;abyssines
4;ăcăʹdĕmy;G.;;;n.;34.0;20;academy
5;ăcănāʹce_o_us;G.;;;a.;35.0;20;acanaceous
2;ăccēʹde;L.;;;v.;36.0;20;accede
4;ăccĕʹlĕrāte;L.;;;v.;37.0;20;accelerate
2;ăcʹcĕnt;L.;;;n.;38.0;20;accent
2;ăccĕʹpt;L.;;;v.;39.0;20;accept
4;ăccĕʹptable;;;;a.;40.0;20;acceptable
5;ăccĕptāʹtion;L.;;;n.;41.0;20;acceptation
2;ăccĕʹſs;L.;;;n.;42.0;20;access
4;ăccĕʹſſĭble;;;;a.;43.0;20;accessible
4;ăccĕʹſſion;L.;;;n.;44.0;20;accession
4;ăʹccĕſſāry;F.;;;n.;45.0;20;accessary
3;ăʹccĭdent;L.;;;n.;46.0;20;accident
5;ăcclămāʹtion;L.;;;n.;47.0;20;acclamation
3;ăccloʹyed;;;;a.;48.0;20;accloyed
4;ăccŏʹmmodāte;L.;;;v.;49.0;20;accommodate
4;ăccŏʹmpăny;F.;;;v.;50.0;20;accompany
3;ăccŏʹmpliſh;F.;;;v.;51.0;20;accomplish
4;ăccŏʹmplĭſhed;;;;a.;52.0;20;accomplished
3;ăccŏʹmplice;F.;;;n.;53.0;20;accomplice
2;ăccoʹmpt;;;;v.;54.0;20;accompt
2;ăccoʹrd;F.;;;v.;55.0;20;accord
2;ăccŏʹſt;F.;;;v.;56.0;20;accost
2;ăccȯu̇ʹnt;F.;;;n.;57.0;20;accouont
4;ăccȯu̇ʹntable;;;;a.;58.0;20;accouontable
3;ăccȯu̇ʹntănt;;;;n.;59.0;20;accouontant
3;ăccȯu̇ʹtre;F.;;;v.;60.0;20;accouotre
4;ăccȯu̇ʹtrements;F.;;;n.;61.0;20;accouotrements
2;ăccreʹw;F.;;;v.;62.0;20;accrew
4;ăccuʹmūlăte;L.;;;v.;63.0;20;accumulate
4;ăʹccūracy;L.;;;n.;64.0;20;accuracy
3;ăccŭʹrſed;;;;a.;65.0;20;accursed
2;ăccūʹſe;L.;;;v.;66.0;20;accuse
5;ăccūſāʹtion;L.;;;n.;67.0;20;accusation
4;ăccūʹſātive;;;;n.;68.0;20;accusative
3;ăccŭʹſtom;F.;;;v.;69.0;20;accustom
